occ_code,title,zone,cert_importance,cert_normalized
11-1011.00,Chief Executives,5,3.01,1.953488372093023
11-1011.03,Chief Sustainability Officers,5,2.7,1.6330749354005167
11-1021.00,General and Operations Managers,4,1.88,0.7855297157622737
11-1031.00,Legislators,4,2.615,1.5452196382428942
11-2011.00,Advertising and Promotions Managers,4,1.98,0.8888888888888887
11-2021.00,Marketing Managers,4,2.615,1.5452196382428942
11-2022.00,Sales Managers,4,1.62,0.5167958656330749
11-2032.00,Public Relations Managers,4,2.615,1.5452196382428942
11-2033.00,Fundraising Managers,4,1.5,0.39276485788113685
11-3012.00,Administrative Services Managers,3,2.615,1.5452196382428942
11-3013.00,Facilities Managers,3,2.78,1.7157622739018084
11-3013.01,Security Managers,4,3.5,2.4599483204134365
11-3021.00,Computer and Information Systems Managers,4,2.615,1.5452196382428942
11-3031.00,Financial Managers,4,3.2,2.149870801033592
11-3031.01,Treasurers and Controllers,4,3.52,2.4806201550387597
11-3031.03,Investment Fund Managers,5,2.615,1.5452196382428942
11-3051.00,Industrial Production Managers,4,1.66,0.5581395348837207
11-3051.01,Quality Control Systems Managers,4,3.0,1.9431524547803616
11-3051.02,Geothermal Production Managers,3,2.615,1.5452196382428942
11-3051.03,Biofuels Production Managers,4,2.615,1.5452196382428942
11-3051.04,Biomass Power Plant Managers,4,2.78,1.7157622739018084
11-3051.06,Hydroelectric Production Managers,3,2.615,1.5452196382428942
11-3061.00,Purchasing Managers,4,3.42,2.3772609819121446
11-3071.00,"Transportation, Storage, and Distribution Managers",4,2.615,1.5452196382428942
11-3071.04,Supply Chain Managers,4,2.615,1.5452196382428942
11-3111.00,Compensation and Benefits Managers,4,3.48,2.4392764857881133
11-3121.00,Human Resources Managers,4,3.18,2.1291989664082687
11-3131.00,Training and Development Managers,4,3.0,1.9431524547803616
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4,2.615,1.5452196382428942
11-9021.00,Construction Managers,4,2.85,1.7881136950904393
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4,2.615,1.5452196382428942
11-9032.00,"Education Administrators, Kindergarten through Secondary",5,4.0,2.9767441860465116
11-9033.00,"Education Administrators, Postsecondary",5,2.36,1.2816537467700255
11-9041.00,Architectural and Engineering Managers,5,3.1,2.046511627906977
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4,2.615,1.5452196382428942
11-9051.00,Food Service Managers,2,2.87,1.8087855297157622
11-9071.00,Gambling Managers,2,2.1,1.0129198966408268
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",4,2.6,1.5297157622739017
11-9081.00,Lodging Managers,4,2.615,1.5452196382428942
11-9111.00,Medical and Health Services Managers,4,3.67,2.635658914728682
11-9121.00,Natural Sciences Managers,5,1.95,0.8578811369509042
11-9121.01,Clinical Research Coordinators,4,2.65,1.581395348837209
11-9121.02,Water Resource Specialists,4,3.82,2.7906976744186043
11-9131.00,Postmasters and Mail Superintendents,2,2.615,1.5452196382428942
11-9141.00,"Property, Real Estate, and Community Association Managers",4,3.55,2.5116279069767438
11-9151.00,Social and Community Service Managers,4,2.73,1.664082687338501
11-9161.00,Emergency Management Directors,4,3.36,2.3152454780361755
11-9171.00,Funeral Home Managers,3,3.62,2.5839793281653747
11-9179.01,Fitness and Wellness Coordinators,4,4.54,3.534883720930232
11-9179.02,Spa Managers,3,2.615,1.5452196382428942
11-9199.01,Regulatory Affairs Managers,4,2.52,1.4470284237726097
11-9199.02,Compliance Managers,4,3.27,2.222222222222222
11-9199.08,Loss Prevention Managers,4,3.09,2.036175710594315
11-9199.09,Wind Energy Operations Managers,3,2.3,1.2196382428940564
11-9199.10,Wind Energy Development Managers,4,2.615,1.5452196382428942
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4,2.86,1.7984496124031004
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4,2.615,1.5452196382428942
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4,2.615,1.5452196382428942
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3,2.615,1.5452196382428942
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,3.2,2.149870801033592
13-1031.00,"Claims Adjusters, Examiners, and Investigators",4,3.21,2.160206718346253
13-1032.00,"Insurance Appraisers, Auto Damage",3,2.615,1.5452196382428942
13-1041.00,Compliance Officers,4,2.615,1.5452196382428942
13-1041.01,Environmental Compliance Inspectors,4,3.1,2.046511627906977
13-1041.03,Equal Opportunity Representatives and Officers,4,2.615,1.5452196382428942
13-1041.04,Government Property Inspectors and Investigators,3,2.615,1.5452196382428942
13-1041.06,Coroners,3,3.65,2.614987080103359
13-1041.07,Regulatory Affairs Specialists,4,2.35,1.2713178294573644
13-1041.08,Customs Brokers,3,2.615,1.5452196382428942
13-1051.00,Cost Estimators,4,2.55,1.478036175710594
13-1071.00,Human Resources Specialists,4,1.93,0.8372093023255812
13-1074.00,Farm Labor Contractors,2,2.615,1.5452196382428942
13-1075.00,Labor Relations Specialists,4,2.43,1.3540051679586564
13-1081.00,Logisticians,4,2.615,1.5452196382428942
13-1081.01,Logistics Engineers,4,2.26,1.1782945736434105
13-1081.02,Logistics Analysts,4,2.36,1.2816537467700255
13-1082.00,Project Management Specialists,4,2.615,1.5452196382428942
13-1111.00,Management Analysts,4,3.05,1.9948320413436689
13-1121.00,"Meeting, Convention, and Event Planners",4,2.615,1.5452196382428942
13-1131.00,Fundraisers,4,2.2,1.1162790697674418
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",4,2.62,1.5503875968992247
13-1151.00,Training and Development Specialists,4,2.61,1.540051679586563
13-1161.00,Market Research Analysts and Marketing Specialists,4,2.13,1.0439276485788112
13-1161.01,Search Marketing Strategists,4,1.91,0.8165374677002581
13-1199.04,Business Continuity Planners,4,3.61,2.573643410852713
13-1199.05,Sustainability Specialists,4,3.22,2.1705426356589146
13-1199.06,Online Merchants,4,2.615,1.5452196382428942
13-1199.07,Security Management Specialists,4,3.6,2.5633074935400515
13-2011.00,Accountants and Auditors,4,2.615,1.5452196382428942
13-2022.00,Appraisers of Personal and Business Property,4,3.91,2.883720930232558
13-2023.00,Appraisers and Assessors of Real Estate,4,4.33,3.3178294573643408
13-2031.00,Budget Analysts,4,2.03,0.940568475452196
13-2041.00,Credit Analysts,4,2.05,0.9612403100775191
13-2051.00,Financial and Investment Analysts,4,2.615,1.5452196382428942
13-2052.00,Personal Financial Advisors,4,3.85,2.821705426356589
13-2053.00,Insurance Underwriters,4,2.3,1.2196382428940564
13-2054.00,Financial Risk Specialists,4,2.615,1.5452196382428942
13-2061.00,Financial Examiners,4,2.48,1.4056847545219637
13-2071.00,Credit Counselors,4,4.08,3.0594315245478034
13-2072.00,Loan Officers,4,1.99,0.8992248062015502
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3,2.93,1.8708010335917313
13-2082.00,Tax Preparers,3,3.29,2.242894056847545
13-2099.01,Financial Quantitative Analysts,5,2.65,1.581395348837209
13-2099.04,"Fraud Examiners, Investigators and Analysts",4,3.62,2.5839793281653747
15-1211.00,Computer Systems Analysts,3,2.22,1.136950904392765
15-1211.01,Health Informatics Specialists,5,3.14,2.0878552971576227
15-1212.00,Information Security Analysts,4,2.615,1.5452196382428942
15-1221.00,Computer and Information Research Scientists,5,2.615,1.5452196382428942
15-1231.00,Computer Network Support Specialists,4,2.615,1.5452196382428942
15-1232.00,Computer User Support Specialists,3,2.47,1.3953488372093024
15-1241.00,Computer Network Architects,4,3.55,2.5116279069767438
15-1241.01,Telecommunications Engineering Specialists,3,3.19,2.13953488372093
15-1242.00,Database Administrators,4,2.28,1.1989664082687335
15-1243.00,Database Architects,4,2.52,1.4470284237726097
15-1243.01,Data Warehousing Specialists,4,1.74,0.6408268733850128
15-1244.00,Network and Computer Systems Administrators,4,2.615,1.5452196382428942
15-1251.00,Computer Programmers,4,2.615,1.5452196382428942
15-1252.00,Software Developers,4,2.55,1.478036175710594
15-1253.00,Software Quality Assurance Analysts and Testers,4,2.85,1.7881136950904393
15-1254.00,Web Developers,3,2.38,1.3023255813953485
15-1255.00,Web and Digital Interface Designers,4,2.615,1.5452196382428942
15-1255.01,Video Game Designers,4,1.2,0.08268733850129183
15-1299.01,Web Administrators,4,2.4,1.3229974160206717
15-1299.02,Geographic Information Systems Technologists and Technicians,3,2.615,1.5452196382428942
15-1299.03,Document Management Specialists,4,3.0,1.9431524547803616
15-1299.04,Penetration Testers,4,2.615,1.5452196382428942
15-1299.05,Information Security Engineers,4,3.79,2.75968992248062
15-1299.06,Digital Forensics Analysts,4,2.615,1.5452196382428942
15-1299.07,Blockchain Engineers,4,2.615,1.5452196382428942
15-1299.08,Computer Systems Engineers/Architects,3,3.55,2.5116279069767438
15-1299.09,Information Technology Project Managers,4,3.62,2.5839793281653747
15-2011.00,Actuaries,4,3.96,2.9354005167958652
15-2021.00,Mathematicians,5,2.8,1.7364341085271315
15-2031.00,Operations Research Analysts,5,2.14,1.054263565891473
15-2041.00,Statisticians,5,2.1,1.0129198966408268
15-2041.01,Biostatisticians,5,2.25,1.1679586563307491
15-2051.00,Data Scientists,4,2.615,1.5452196382428942
15-2051.01,Business Intelligence Analysts,4,1.82,0.7235142118863048
15-2051.02,Clinical Data Managers,4,2.615,1.5452196382428942
15-2099.01,Bioinformatics Technicians,4,2.615,1.5452196382428942
17-1011.00,"Architects, Except Landscape and Naval",5,3.29,2.242894056847545
17-1012.00,Landscape Architects,4,3.45,2.408268733850129
17-1021.00,Cartographers and Photogrammetrists,4,2.615,1.5452196382428942
17-1022.00,Surveyors,4,3.95,2.9250645994832043
17-1022.01,Geodetic Surveyors,4,2.63,1.560723514211886
17-2011.00,Aerospace Engineers,4,2.615,1.5452196382428942
17-2021.00,Agricultural Engineers,4,2.8,1.7364341085271315
17-2031.00,Bioengineers and Biomedical Engineers,4,2.39,1.3126614987080103
17-2041.00,Chemical Engineers,4,2.13,1.0439276485788112
17-2051.00,Civil Engineers,4,4.05,3.028423772609819
17-2051.01,Transportation Engineers,4,3.91,2.883720930232558
17-2051.02,Water/Wastewater Engineers,4,3.78,2.7493540051679584
17-2061.00,Computer Hardware Engineers,4,2.21,1.1266149870801032
17-2071.00,Electrical Engineers,4,1.95,0.8578811369509042
17-2072.00,"Electronics Engineers, Except Computer",4,1.61,0.5064599483204134
17-2072.01,Radio Frequency Identification Device Specialists,4,2.615,1.5452196382428942
17-2081.00,Environmental Engineers,4,3.81,2.780361757105943
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4,2.615,1.5452196382428942
17-2111.02,Fire-Prevention and Protection Engineers,4,3.92,2.8940568475452193
17-2112.00,Industrial Engineers,4,2.615,1.5452196382428942
17-2112.01,Human Factors Engineers and Ergonomists,5,3.4,2.3565891472868215
17-2112.02,Validation Engineers,4,2.95,1.8914728682170543
17-2112.03,Manufacturing Engineers,4,2.69,1.6227390180878551
17-2121.00,Marine Engineers and Naval Architects,4,3.26,2.2118863049095605
17-2131.00,Materials Engineers,4,1.9,0.8062015503875967
17-2141.00,Mechanical Engineers,4,2.57,1.498708010335917
17-2141.01,Fuel Cell Engineers,4,2.0,0.9095607235142118
17-2141.02,Automotive Engineers,4,2.24,1.157622739018088
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4,2.89,1.8294573643410852
17-2161.00,Nuclear Engineers,4,3.14,2.0878552971576227
17-2171.00,Petroleum Engineers,4,1.83,0.7338501291989663
17-2199.03,"Energy Engineers, Except Wind and Solar",4,2.615,1.5452196382428942
17-2199.05,Mechatronics Engineers,4,2.01,0.9198966408268731
17-2199.06,Microsystems Engineers,5,2.615,1.5452196382428942
17-2199.07,Photonics Engineers,4,1.52,0.41343669250645987
17-2199.08,Robotics Engineers,4,2.27,1.1886304909560723
17-2199.09,Nanosystems Engineers,5,1.76,0.6614987080103358
17-2199.10,Wind Energy Engineers,4,2.615,1.5452196382428942
17-2199.11,Solar Energy Systems Engineers,4,3.04,1.9844961240310077
17-3011.00,Architectural and Civil Drafters,3,2.615,1.5452196382428942
17-3012.00,Electrical and Electronics Drafters,3,2.615,1.5452196382428942
17-3013.00,Mechanical Drafters,3,2.615,1.5452196382428942
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3,2.615,1.5452196382428942
17-3022.00,Civil Engineering Technologists and Technicians,3,2.615,1.5452196382428942
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,3,2.615,1.5452196382428942
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3,2.615,1.5452196382428942
17-3024.01,Robotics Technicians,3,2.86,1.7984496124031004
17-3025.00,Environmental Engineering Technologists and Technicians,4,2.615,1.5452196382428942
17-3026.00,Industrial Engineering Technologists and Technicians,3,2.615,1.5452196382428942
17-3026.01,Nanotechnology Engineering Technologists and Technicians,4,2.25,1.1679586563307491
17-3027.00,Mechanical Engineering Technologists and Technicians,3,1.8,0.7028423772609819
17-3027.01,Automotive Engineering Technicians,3,2.615,1.5452196382428942
17-3028.00,Calibration Technologists and Technicians,3,2.615,1.5452196382428942
17-3029.01,Non-Destructive Testing Specialists,2,3.5,2.4599483204134365
17-3029.08,Photonics Technicians,3,2.41,1.3333333333333333
17-3031.00,Surveying and Mapping Technicians,3,2.615,1.5452196382428942
19-1011.00,Animal Scientists,5,2.57,1.498708010335917
19-1012.00,Food Scientists and Technologists,4,2.64,1.5710594315245479
19-1013.00,Soil and Plant Scientists,5,2.62,1.5503875968992247
19-1021.00,Biochemists and Biophysicists,5,2.25,1.1679586563307491
19-1022.00,Microbiologists,4,2.68,1.6124031007751938
19-1023.00,Zoologists and Wildlife Biologists,4,2.45,1.3746770025839794
19-1029.01,Bioinformatics Scientists,5,2.615,1.5452196382428942
19-1029.02,Molecular and Cellular Biologists,5,2.42,1.3436692506459946
19-1029.03,Geneticists,5,2.28,1.1989664082687335
19-1029.04,Biologists,5,2.79,1.7260981912144702
19-1031.00,Conservation Scientists,4,2.74,1.6744186046511629
19-1031.02,Range Managers,4,2.615,1.5452196382428942
19-1031.03,Park Naturalists,4,2.36,1.2816537467700255
19-1032.00,Foresters,4,1.98,0.8888888888888887
19-1041.00,Epidemiologists,5,2.61,1.540051679586563
19-1042.00,"Medical Scientists, Except Epidemiologists",5,3.58,2.5426356589147288
19-2011.00,Astronomers,5,1.91,0.8165374677002581
19-2012.00,Physicists,5,2.615,1.5452196382428942
19-2021.00,Atmospheric and Space Scientists,4,1.85,0.7545219638242894
19-2031.00,Chemists,4,2.58,1.5090439276485788
19-2032.00,Materials Scientists,4,1.9,0.8062015503875967
19-2041.00,"Environmental Scientists and Specialists, Including Health",4,3.23,2.180878552971576
19-2041.01,Climate Change Policy Analysts,5,1.91,0.8165374677002581
19-2041.02,Environmental Restoration Planners,5,3.23,2.180878552971576
19-2041.03,Industrial Ecologists,5,2.13,1.0439276485788112
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",5,2.28,1.1989664082687335
19-2043.00,Hydrologists,5,2.57,1.498708010335917
19-2099.01,Remote Sensing Scientists and Technologists,4,2.48,1.4056847545219637
19-3011.00,Economists,5,1.54,0.4341085271317829
19-3011.01,Environmental Economists,5,1.93,0.8372093023255812
19-3022.00,Survey Researchers,5,1.62,0.5167958656330749
19-3032.00,Industrial-Organizational Psychologists,5,2.15,1.0645994832041341
19-3033.00,Clinical and Counseling Psychologists,5,4.88,3.886304909560723
19-3034.00,School Psychologists,5,4.27,3.2558139534883717
19-3039.02,Neuropsychologists,5,4.56,3.555555555555555
19-3039.03,Clinical Neuropsychologists,5,4.71,3.7105943152454777
19-3041.00,Sociologists,5,3.05,1.9948320413436689
19-3051.00,Urban and Regional Planners,5,3.28,2.2325581395348832
19-3091.00,Anthropologists and Archeologists,5,2.3,1.2196382428940564
19-3092.00,Geographers,4,2.9,1.8397932816537466
19-3093.00,Historians,5,3.02,1.9638242894056845
19-3094.00,Political Scientists,5,2.27,1.1886304909560723
19-3099.01,Transportation Planners,4,2.05,0.9612403100775191
19-4012.00,Agricultural Technicians,3,1.98,0.8888888888888887
19-4012.01,Precision Agriculture Technicians,3,2.7,1.6330749354005167
19-4013.00,Food Science Technicians,3,1.83,0.7338501291989663
19-4021.00,Biological Technicians,4,1.26,0.1447028423772609
19-4031.00,Chemical Technicians,3,1.67,0.5684754521963822
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4,2.91,1.8501291989664082
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4,2.615,1.5452196382428942
19-4044.00,Hydrologic Technicians,3,2.615,1.5452196382428942
19-4051.00,Nuclear Technicians,3,2.615,1.5452196382428942
19-4051.02,Nuclear Monitoring Technicians,3,2.615,1.5452196382428942
19-4061.00,Social Science Research Assistants,4,2.615,1.5452196382428942
19-4071.00,Forest and Conservation Technicians,3,2.615,1.5452196382428942
19-4092.00,Forensic Science Technicians,3,2.66,1.5917312661498708
19-4099.01,Quality Control Analysts,3,1.79,0.6925064599483203
19-4099.03,Remote Sensing Technicians,4,2.615,1.5452196382428942
19-5011.00,Occupational Health and Safety Specialists,4,2.87,1.8087855297157622
19-5012.00,Occupational Health and Safety Technicians,3,3.29,2.242894056847545
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,5,4.15,3.1317829457364343
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",5,2.59,1.51937984496124
21-1013.00,Marriage and Family Therapists,5,4.66,3.6589147286821704
21-1014.00,Mental Health Counselors,5,4.57,3.565891472868217
21-1015.00,Rehabilitation Counselors,4,2.68,1.6124031007751938
21-1021.00,"Child, Family, and School Social Workers",4,2.55,1.478036175710594
21-1022.00,Healthcare Social Workers,5,3.54,2.5012919896640824
21-1023.00,Mental Health and Substance Abuse Social Workers,5,4.25,3.235142118863049
21-1091.00,Health Education Specialists,4,3.57,2.532299741602067
21-1092.00,Probation Officers and Correctional Treatment Specialists,4,2.42,1.3436692506459946
21-1093.00,Social and Human Service Assistants,4,2.51,1.436692506459948
21-1094.00,Community Health Workers,4,2.615,1.5452196382428942
21-2011.00,Clergy,5,2.96,1.9018087855297157
21-2021.00,"Directors, Religious Activities and Education",4,2.54,1.4677002583979326
23-1011.00,Lawyers,5,4.35,3.3385012919896635
23-1012.00,Judicial Law Clerks,5,3.14,2.0878552971576227
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",5,2.96,1.9018087855297157
23-1022.00,"Arbitrators, Mediators, and Conciliators",5,3.4,2.3565891472868215
23-1023.00,"Judges, Magistrate Judges, and Magistrates",5,4.18,3.162790697674418
23-2011.00,Paralegals and Legal Assistants,3,2.53,1.457364341085271
23-2093.00,"Title Examiners, Abstractors, and Searchers",2,2.615,1.5452196382428942
25-1011.00,"Business Teachers, Postsecondary",5,2.54,1.4677002583979326
25-1021.00,"Computer Science Teachers, Postsecondary",5,3.2,2.149870801033592
25-1022.00,"Mathematical Science Teachers, Postsecondary",5,2.57,1.498708010335917
25-1031.00,"Architecture Teachers, Postsecondary",5,3.02,1.9638242894056845
25-1032.00,"Engineering Teachers, Postsecondary",5,1.42,0.3100775193798448
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5,2.93,1.8708010335917313
25-1042.00,"Biological Science Teachers, Postsecondary",5,2.16,1.074935400516796
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5,2.31,1.2299741602067182
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5,2.32,1.2403100775193796
25-1052.00,"Chemistry Teachers, Postsecondary",5,2.24,1.157622739018088
25-1053.00,"Environmental Science Teachers, Postsecondary",5,2.53,1.457364341085271
25-1054.00,"Physics Teachers, Postsecondary",5,2.37,1.2919896640826873
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5,2.23,1.1472868217054262
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5,2.98,1.9224806201550386
25-1063.00,"Economics Teachers, Postsecondary",5,1.76,0.6614987080103358
25-1064.00,"Geography Teachers, Postsecondary",5,2.15,1.0645994832041341
25-1065.00,"Political Science Teachers, Postsecondary",5,3.61,2.573643410852713
25-1066.00,"Psychology Teachers, Postsecondary",5,2.81,1.7467700258397931
25-1067.00,"Sociology Teachers, Postsecondary",5,2.71,1.643410852713178
25-1071.00,"Health Specialties Teachers, Postsecondary",5,4.48,3.472868217054264
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",5,3.64,2.6046511627906974
25-1081.00,"Education Teachers, Postsecondary",5,3.52,2.4806201550387597
25-1082.00,"Library Science Teachers, Postsecondary",5,3.51,2.470284237726098
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",5,3.06,2.0051679586563305
25-1112.00,"Law Teachers, Postsecondary",5,3.92,2.8940568475452193
25-1113.00,"Social Work Teachers, Postsecondary",5,3.36,2.3152454780361755
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5,3.29,2.242894056847545
25-1122.00,"Communications Teachers, Postsecondary",5,3.0,1.9431524547803616
25-1123.00,"English Language and Literature Teachers, Postsecondary",5,2.9,1.8397932816537466
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",5,2.17,1.085271317829457
25-1125.00,"History Teachers, Postsecondary",5,2.08,0.9922480620155039
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",5,2.7,1.6330749354005167
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",5,2.86,1.7984496124031004
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",5,3.78,2.7493540051679584
25-1194.00,"Career/Technical Education Teachers, Postsecondary",3,4.26,3.2454780361757103
25-2011.00,"Preschool Teachers, Except Special Education",3,2.79,1.7260981912144702
25-2012.00,"Kindergarten Teachers, Except Special Education",4,4.66,3.6589147286821704
25-2021.00,"Elementary School Teachers, Except Special Education",4,4.37,3.359173126614987
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",4,3.41,2.3669250645994833
