Census_Code,SOC_Code,Description
10,11-1011,Chief executives
20,11-1021,General and operations managers
30,11-1031,Legislators
40,11-2011,Advertising and promotions managers
50,11-2020,Marketing and sales managers
60,11-2031,Public relations and fundraising managers
100,11-3011,Administrative services managers
110,11-3021,Computer and information systems managers
120,11-3031,Financial managers
135,11-3111  ,Compensation and benefits managers
136,11-3121  ,Human resources managers
137,11-3131  ,Training and development managers
140,11-3051,Industrial production managers
150,11-3061,Purchasing managers
160,11-3071,"Transportation, storage, and distribution managers"
205,11-9013,"Farmers, ranchers, and other agricultural managers"
220,11-9021,Construction managers
230,11-9030,Education administrators
300,11-9041,Architectural and engineering managers
310,11-9051,Food service managers
325,11-9061,Funeral service managers
330,11-9071,Gaming managers
340,11-9081,Lodging managers
350,11-9111,Medical and health services managers
360,11-9121,Natural sciences managers
400,11-9131,Postmasters and mail superintendents
410,11-9141,"Property, real estate, and community association managers"
420,11-9151,Social and community service managers
425,11-9161,Emergency management directors
430,11-9199,"Managers, all other"
500,13-1011 ,"Agents and business managers of artists, performers, and athletes"
510,13-1021 ,"Buyers and purchasing agents, farm products"
520,13-1022 ,"Wholesale and retail buyers, except farm products"
530,13-1023 ,"Purchasing agents, except wholesale, retail, and farm products"
540,13-1030 ,"Claims adjusters, appraisers, examiners, and investigators"
565,13-1041,Compliance officers
600,13-1051,Cost estimators
630,13-1070 ,Human resources workers
640,13-1141,"Compensation, benefits, and job analysis specialists"
650,13-1151,Training and development specialists
700,13-1081 ,Logisticians
710,13-1111 ,Management analysts
725,13-1121 ,"Meeting, convention, and event planners"
726,13-1131,Fundraisers
735,13-1161,Market research analysts and marketing specialists
740,13-1199 ,"Business operations specialists, all other"
800,13-2011 ,Accountants and auditors
810,13-2021 ,Appraisers and assessors of real estate
820,13-2031 ,Budget analysts
830,13-2041 ,Credit analysts
840,13-2051 ,Financial analysts
850,13-2052 ,Personal financial advisors
860,13-2053 ,Insurance underwriters
900,13-2061 ,Financial examiners
910,13-2070 ,Credit counselors and loan officers
930,13-2081 ,"Tax examiners and collectors, and revenue agents"
940,13-2082,Tax preparers
950,13-2099 ,"Financial specialists, all other"
1005,15-1111,Computer and information research scientists
1006,15-1121 ,Computer systems analysts
1007,15-1122,Information security analysts
1010,15-1131 ,Computer programmers
1020,15-113X  ,"Software developers, applications and systems software"
1030,15-1134,Web developers
1050,15-1150  ,Computer support specialists
1060,15-1141 ,Database administrators
1105,15-1142  ,Network and computer systems administrators
1106,15-1143  ,Computer network architects 
1107,15-1199,"Computer occupations, all other"
1200,15-2011 ,Actuaries
1210,15-2021 ,Mathematicians
1220,15-2031 ,Operations research analysts
1230,15-2041 ,Statisticians
1240,15-2090,Miscellaneous mathematical science occupations
1300,17-1010 ,"Architects, except naval"
1310,17-1020 ,"Surveyors, cartographers, and photogrammetrists"
1320,17-2011 ,Aerospace engineers
1330,17-2021,Agricultural engineers
1340,17-2031,Biomedical engineers
1350,17-2041 ,Chemical engineers
1360,17-2051 ,Civil engineers
1400,17-2061 ,Computer hardware engineers
1410,17-2070 ,Electrical and electronics engineers
1420,17-2081 ,Environmental engineers
1430,17-2110 ,"Industrial engineers, including health and safety"
1440,17-2121 ,Marine engineers and naval architects
1450,17-2131 ,Materials engineers
1460,17-2141 ,Mechanical engineers
1500,17-2151 ,"Mining and geological engineers, including mining safety engineers"
1510,17-2161 ,Nuclear engineers
1520,17-2171 ,Petroleum engineers
1530,17-2199 ,"Engineers, all other"
1540,17-3010 ,Drafters
1550,17-3020 ,"Engineering technicians, except drafters"
1560,17-3031 ,Surveying and mapping technicians
1600,19-1010,Agricultural and food scientists
1610,19-1020 ,Biological scientists
1640,19-1030 ,Conservation scientists and foresters
1650,19-1040 ,Medical scientists
1660,19-1099,"Life scientists, all other"
1700,19-2010 ,Astronomers and physicists
1710,19-2021 ,Atmospheric and space scientists
1720,19-2030 ,Chemists and materials scientists
1740,19-2040 ,Environmental scientists and geoscientists
1760,19-2099 ,"Physical scientists, all other"
1800,19-3011 ,Economists
1815,19-3022 ,Survey researchers
1820,19-3030 ,Psychologists
1830,19-3041 ,Sociologists
1840,19-3051 ,Urban and regional planners
1860,19-3090,Miscellaneous social scientists and related workers
1900,19-4011,Agricultural and food science technicians
1910,19-4021,Biological technicians
1920,19-4031,Chemical technicians
1930,19-4041,Geological and petroleum technicians
1940,19-4051,Nuclear technicians
1950,19-4061,Social science research assistants
1965,19-4090,"Miscellaneous life, physical, and social science technicians"
2000,21-1010,Counselors
2010,21-1020,Social workers
2015,21-1092,Probation officers and correctional treatment specialists
2016,21-1093,Social and human service assistants
2025,21-109X,"Miscellaneous community and social service specialists, including health educators and community health workers"
2040,21-2011,Clergy
2050,21-2021,"Directors, religious activities and education"
2060,21-2099 ,"Religious workers, all other"
2100,23-1011 ,Lawyers
2105,23-1012,Judicial law clerks
2110,23-1020,"Judges, magistrates, and other judicial workers"
2145,23-2011,Paralegals and legal assistants
2160,23-2090,Miscellaneous legal support workers
2200,25-1000,Postsecondary teachers
2300,25-2010 ,Preschool and kindergarten teachers
2310,25-2020 ,Elementary and middle school teachers
2320,25-2030 ,Secondary school teachers
2330,25-2050 ,Special education teachers
2340,25-3000,Other teachers and instructors
2400,25-4010,"Archivists, curators, and museum technicians"
2430,25-4021,Librarians
2440,25-4031,Library technicians
2540,25-9041 ,Teacher assistants
2550,25-90XX,"Other education, training, and library workers"
2600,27-1010 ,Artists and related workers
2630,27-1020 ,Designers
2700,27-2011,Actors
2710,27-2012,Producers and directors
2720,27-2020,"Athletes, coaches, umpires, and related workers"
2740,27-2030,Dancers and choreographers
2750,27-2040,"Musicians, singers, and related workers"
2760,27-2099,"Entertainers and performers, sports and related workers, all other"
2800,27-3010,Announcers
2810,27-3020,"News analysts, reporters and correspondents"
2825,27-3031,Public relations specialists
2830,27-3041,Editors
2840,27-3042,Technical writers
2850,27-3043,Writers and authors
2860,27-3090,Miscellaneous media and communication workers
2900,27-4010,Broadcast and sound engineering technicians and radio operators
2910,27-4021,Photographers
2920,27-4030,"Television, video, and motion picture camera operators and editors"
2960,27-4099,"Media and communication equipment workers, all other"
3000,29-1011,Chiropractors
3010,29-1020 ,Dentists
3030,29-1031,Dietitians and nutritionists
3040,29-1041,Optometrists
3050,29-1051,Pharmacists
3060,29-1060 ,Physicians and surgeons
3110,29-1071,Physician assistants
3120,29-1081,Podiatrists
3140,29-1181,Audiologists
3150,29-1122,Occupational therapists
3160,29-1123 ,Physical therapists
3200,29-1124,Radiation therapists
3210,29-1125,Recreational therapists
3220,29-1126,Respiratory therapists
3230,29-1127,Speech-language pathologists
3235,29-1128,Exercise physiologists
3245,29-1129,"Therapists, all other"
3250,29-1131,Veterinarians
3255,29-1141,Registered nurses
3256,29-1151,Nurse anesthetists
3257,29-1161,Nurse midwives
3258,29-1171,Nurse practitioners
3260,29-1199 ,"Health diagnosing and treating practitioners, all other"
3300,29-2010,Clinical laboratory technologists and technicians
3310,29-2021,Dental hygienists
3320,29-2030 ,Diagnostic related technologists and technicians
3400,29-2041,Emergency medical technicians and paramedics
3420,29-2050 ,Health practitioner support technologists and technicians
3500,29-2061,Licensed practical and licensed vocational nurses
3510,29-2071,Medical records and health information technicians
3520,29-2081,"Opticians, dispensing"
3535,29-2090,Miscellaneous health technologists and technicians
3540,29-9000,Other healthcare practitioners and technical occupations
3600,31-1010,"Nursing, psychiatric, and home health aides"
3610,31-2010,Occupational therapy assistants and aides
3620,31-2020,Physical therapist assistants and aides
3630,31-9011,Massage therapists
3640,31-9091,Dental assistants
3645,31-9092,Medical assistants
3646,31-9094,Medical transcriptionists
3647,31-9095,Pharmacy aides
3648,31-9096,Veterinary assistants and laboratory animal caretakers
3649,31-9097,Phlebotomists
3655,31-909X,"Healthcare support workers, all other, including medical equipment preparers"
3700,33-1011,First-line supervisors of correctional officers
3710,33-1012 ,First-line supervisors of police and detectives
3720,33-1021,First-line supervisors of fire fighting and prevention workers
3730,33-1099,"First-line supervisors of protective service workers, all other"
3740,33-2011,Firefighters
3750,33-2020 ,Fire inspectors
3800,33-3010 ,"Bailiffs, correctional officers, and jailers"
3820,33-3021,Detectives and criminal investigators
3830,33-3031,Fish and game wardens
3840,33-3041,Parking enforcement workers
3850,33-3051,Police and sheriff's patrol officers
3860,33-3052 ,Transit and railroad police
3900,33-9011,Animal control workers
3910,33-9021,Private detectives and investigators
3930,33-9030 ,Security guards and gaming surveillance officers
3940,33-9091,Crossing guards
3945,33-9093,Transportation security screeners
3955,33-909X,"Lifeguards and other recreational, and all other protective service workers"
4000,35-1011,Chefs and head cooks
4010,35-1012,First-line supervisors of food preparation and serving workers
4020,35-2010,Cooks
4030,35-2021,Food preparation workers
4040,35-3011,Bartenders
4050,35-3021,"Combined food preparation and serving workers, including fast food"
4060,35-3022,"Counter attendants, cafeteria, food concession, and coffee shop"
4110,35-3031,Waiters and waitresses
4120,35-3041,"Food servers, nonrestaurant"
4130,35-9011,Dining room and cafeteria attendants and bartender helpers
4140,35-9021,Dishwashers
4150,35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop"
4160,35-9099,"Food preparation and serving related workers, all other"
4200,37-1011,First-line supervisors of housekeeping and janitorial workers
4210,37-1012,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
4220,37-201X,Janitors and building cleaners
4230,37-2012,Maids and housekeeping cleaners
4240,37-2021,Pest control workers
4250,37-3010,Grounds maintenance workers
4300,39-1010,First-line supervisors of gaming workers
4320,39-1021 ,First-line supervisors of personal service workers
4340,39-2011,Animal trainers
4350,39-2021,Nonfarm animal caretakers
4400,39-3010,Gaming services workers
4410,39-3021,Motion picture projectionists
4420,39-3031,"Ushers, lobby attendants, and ticket takers"
4430,39-3090 ,Miscellaneous entertainment attendants and related workers
4460,  39-40XX,Embalmers and funeral attendants
4465,39-4031,"Morticians, undertakers, and funeral directors"
4500,39-5011,Barbers
4510,39-5012,"Hairdressers, hairstylists, and cosmetologists"
4520,39-5090,Miscellaneous personal appearance workers
4530,39-6010,"Baggage porters, bellhops, and concierges"
4540,39-7010,Tour and travel guides
4600,39-9011,Childcare workers
4610,39-9021,Personal care aides
4620,39-9030,Recreation and fitness workers
4640,39-9041,Residential advisors
4650,39-9099,"Personal care and service workers, all other "
4700,41-1011,First-line supervisors of retail sales workers
4710,41-1012,First-line supervisors of non-retail sales workers
4720,41-2010,Cashiers
4740,41-2021,Counter and rental clerks
4750,41-2022,Parts salespersons
4760,41-2031,Retail salespersons
4800,41-3011,Advertising sales agents
4810,41-3021,Insurance sales agents
4820,41-3031,"Securities, commodities, and financial services sales agents"
4830,41-3041,Travel agents
4840,41-3099,"Sales representatives, services, all other"
4850,41-4010 ,"Sales representatives, wholesale and manufacturing"
4900,41-9010 ,"Models, demonstrators, and product promoters"
4920,41-9020,Real estate brokers and sales agents
4930,41-9031,Sales engineers
4940,41-9041,Telemarketers
4950,41-9091,"Door-to-door sales workers, news and street vendors, and related workers"
4965,41-9099,"Sales and related workers, all other"
5000,43-1011 ,First-line supervisors of office and administrative support workers
5010,43-2011,"Switchboard operators, including answering service"
5020,43-2021,Telephone operators
5030,43-2099,"Communications equipment operators, all other"
5100,43-3011,Bill and account collectors
5110,43-3021,Billing and posting clerks 
5120,43-3031,"Bookkeeping, accounting, and auditing clerks"
5130,43-3041,Gaming cage workers
5140,43-3051,Payroll and timekeeping clerks
5150,43-3061,Procurement clerks
5160,43-3071,Tellers
5165,43-3099,"Financial clerks, all other"
5200,43-4011,Brokerage clerks
5210,43-4021,Correspondence clerks
5220,43-4031,"Court, municipal, and license clerks"
5230,43-4041,"Credit authorizers, checkers, and clerks"
5240,43-4051,Customer service representatives
5250,43-4061 ,"Eligibility interviewers, government programs"
5260,43-4071 ,File clerks
5300,43-4081,"Hotel, motel, and resort desk clerks"
5310,43-4111,"Interviewers, except eligibility and loan"
5320,43-4121,"Library assistants, clerical"
5330,43-4131,Loan interviewers and clerks
5340,43-4141,New accounts clerks
5350,43-4151,Order clerks
5360,43-4161 ,"Human resources assistants, except payroll and timekeeping"
5400,43-4171,Receptionists and information clerks
5410,43-4181,Reservation and transportation ticket agents and travel clerks
5420,43-4199 ,"Information and record clerks, all other"
5500,43-5011,Cargo and freight agents
5510,43-5021,Couriers and messengers
5520,43-5030,Dispatchers
5530,43-5041,"Meter readers, utilities"
5540,43-5051,Postal service clerks
5550,43-5052,Postal service mail carriers
5560,43-5053 ,"Postal service mail sorters, processors, and processing machine operators"
5600,43-5061,"Production, planning, and expediting clerks"
5610,43-5071,"Shipping, receiving, and traffic clerks"
5620,43-5081,Stock clerks and order fillers
5630,43-5111 ,"Weighers, measurers, checkers, and samplers, recordkeeping"
5700,43-6010 ,Secretaries and administrative assistants
5800,43-9011,Computer operators
5810,43-9021,Data entry keyers
5820,43-9022,Word processors and typists
5830,43-9031,Desktop publishers
5840,43-9041,Insurance claims and policy processing clerks
5850,43-9051,"Mail clerks and mail machine operators, except postal service"
5860,43-9061 ,"Office clerks, general"
5900, 43-9071,"Office machine operators, except computer"
5910,43-9081,Proofreaders and copy markers
5920,43-9111,Statistical assistants
5940,43-9199 ,"Office and administrative support workers, all other"
6005,45-1011  ,"First-line supervisors of farming, fishing, and forestry workers"
6010,45-2011,Agricultural inspectors
6020,45-2021 ,Animal breeders
6040,45-2041,"Graders and sorters, agricultural products"
6050,45-2090,Miscellaneous agricultural workers 
6100,45-3011,Fishers and related fishing workers
6110,45-3021,Hunters and trappers
6120,45-4011,Forest and conservation workers
6130,45-4020,Logging workers
6200,47-1011,First-line supervisors of construction trades and extraction workers
6210,47-2011 ,Boilermakers
6220,47-2020 ,"Brickmasons, blockmasons, and stonemasons"
6230,47-2031 ,Carpenters
6240,47-2040 ,"Carpet, floor, and tile installers and finishers"
6250,47-2050 ,"Cement masons, concrete finishers, and terrazzo workers"
6260,47-2061,Construction laborers
6300,47-2071 ,"Paving, surfacing, and tamping equipment operators"
6310,47-2072 ,Pile-driver operators
6320,47-2073 ,Operating engineers and other construction equipment operators
6330,47-2080,"Drywall installers, ceiling tile installers, and tapers"
6355,47-2111,Electricians
6360,47-2121,Glaziers
6400,47-2130,Insulation workers
6420,47-2141,"Painters, construction and maintenance"
6430,47-2142,Paperhangers
6440,47-2150,"Pipelayers, plumbers, pipefitters, and steamfitters"
6460,47-2161,Plasterers and stucco masons
6500,47-2171 ,Reinforcing iron and rebar workers
6515,47-2181 ,Roofers
6520,47-2211 ,Sheet metal workers
6530,47-2221,Structural iron and steel workers
6540,47-2231,Solar photovoltaic installers
6600,47-3010,"Helpers, construction trades"
6660,47-4011,Construction and building inspectors
6700,47-4021 ,Elevator installers and repairers
6710,47-4031 ,Fence erectors
6720,47-4041 ,Hazardous materials removal workers
6730,47-4051 ,Highway maintenance workers
6740,47-4061 ,Rail-track laying and maintenance equipment operators
6750,47-4071 ,Septic tank servicers and sewer pipe cleaners
6765,47-4090,Miscellaneous construction and related workers
6800,47-5010 ,"Derrick, rotary drill, and service unit operators, oil, gas, and mining"
6820,47-5021,"Earth drillers, except oil and gas"
6830,47-5031 ,"Explosives workers, ordnance handling experts, and blasters"
6840,47-5040,Mining machine operators
6910,47-5061 ,"Roof bolters, mining"
6920,47-5071 ,"Roustabouts, oil and gas"
6930,47-5081 ,Helpers--extraction workers
6940,47-50XX,Other extraction workers
7000,49-1011,"First-line supervisors of mechanics, installers, and repairers"
7010,49-2011,"Computer, automated teller, and office machine repairers"
7020,49-2020,Radio and telecommunications equipment installers and repairers
7030,49-2091,Avionics technicians
7040,49-2092,"Electric motor, power tool, and related repairers"
7050,49-2093,"Electrical and electronics installers and repairers, transportation equipment"
7100,49-209X,"Electrical and electronics repairers, industrial and utility"
7110,49-2096,"Electronic equipment installers and repairers, motor vehicles"
7120,49-2097,Electronic home entertainment equipment installers and repairers
7130,49-2098,Security and fire alarm systems installers
7140,49-3011,Aircraft mechanics and service technicians
7150,49-3021,Automotive body and related repairers
7160,49-3022 ,Automotive glass installers and repairers
7200,49-3023,Automotive service technicians and mechanics
7210,49-3031,Bus and truck mechanics and diesel engine specialists
7220,49-3040 ,Heavy vehicle and mobile equipment service technicians and mechanics
7240,49-3050 ,Small engine mechanics
7260,49-3090 ,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
7300,49-9010,Control and valve installers and repairers
7315,49-9021,"Heating, air conditioning, and refrigeration mechanics and installers"
7320,49-9031,Home appliance repairers
7330,49-904X,Industrial and refractory machinery mechanics
7340,49-9071,"Maintenance and repair workers, general"
7350,49-9043,"Maintenance workers, machinery"
7360,49-9044,Millwrights
7410,49-9051,Electrical power-line installers and repairers
7420,49-9052,Telecommunications line installers and repairers
7430,49-9060,Precision instrument and equipment repairers
7440,49-9081,Wind turbine service technicians
7510,49-9091,"Coin, vending, and amusement machine servicers and repairers"
7520,49-9092,Commercial divers
7540,49-9094,Locksmiths and safe repairers
7550,49-9095,Manufactured building and mobile home installers
7560,49-9096,Riggers
7600,49-9097,Signal and track switch repairers
7610,49-9098,"Helpers--installation, maintenance, and repair workers "
7630,49-909X,"Other installation, maintenance, and repair workers"
7700,51-1011,First-line supervisors of production and operating workers
7710,51-2011 ,"Aircraft structure, surfaces, rigging, and systems assemblers"
7720,51-2020 ,"Electrical, electronics, and electromechanical assemblers"
7730,51-2031 ,Engine and other machine assemblers
7740,51-2041 ,Structural metal fabricators and fitters
7750,51-2090,Miscellaneous assemblers and fabricators
7800,51-3011,Bakers
7810,51-3020,"Butchers and other meat, poultry, and fish processing workers"
7830,51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders"
7840,51-3092,Food batchmakers
7850,51-3093,Food cooking machine operators and tenders
7855,51-3099,"Food processing workers, all other"
7900,51-4010,Computer control programmers and operators
7920,51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
7930,51-4022,"Forging machine setters, operators, and tenders, metal and plastic"
7940,51-4023,"Rolling machine setters, operators, and tenders, metal and plastic"
7950,51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
7960,51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic "
8000,51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
8010,51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
8020,51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic"
8030,51-4041,Machinists
8040,51-4050,"Metal furnace operators, tenders, pourers, and casters"
8060,51-4060,"Model makers and patternmakers, metal and plastic"
8100,51-4070,"Molders and molding machine setters, operators, and tenders, metal and plastic"
8120,51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic "
8130,51-4111,Tool and die makers
8140,51-4120,"Welding, soldering, and brazing workers"
8150,51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic"
8160,51-4192,"Layout workers, metal and plastic"
8200,51-4193,"Plating and coating machine setters, operators, and tenders, metal and plastic"
8210,51-4194,"Tool grinders, filers, and sharpeners"
8220,51-4199,"Metal workers and plastic workers, all other"
8250,51-5111,Prepress technicians and workers
8255,51-5112 ,Printing press operators
8256,51-5113 ,Print binding and finishing workers
8300,51-6011,Laundry and dry-cleaning workers
8310,51-6021,"Pressers, textile, garment, and related materials"
8320,51-6031,Sewing machine operators
8330,51-6041,Shoe and leather workers and repairers
8340,51-6042,Shoe machine operators and tenders
8350,51-6050,"Tailors, dressmakers, and sewers"
8360,51-6061,Textile bleaching and dyeing machine operators and tenders
8400,51-6062,"Textile cutting machine setters, operators, and tenders"
8410,51-6063,"Textile knitting and weaving machine setters, operators, and tenders"
8420,51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders"
8430,51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"
8440,51-6092,Fabric and apparel patternmakers
8450,51-6093,Upholsterers
8460,51-6099,"Textile, apparel, and furnishings workers, all other"
8500,51-7011,Cabinetmakers and bench carpenters
8510,51-7021,Furniture finishers
8520,51-7030,"Model makers and patternmakers, wood"
8530,51-7041,"Sawing machine setters, operators, and tenders, wood"
8540,51-7042,"Woodworking machine setters, operators, and tenders, except sawing"
8550,51-7099,"Woodworkers, all other"
8600,51-8010,"Power plant operators, distributors, and dispatchers"
8610,51-8021,Stationary engineers and boiler operators
8620,51-8031,Water and wastewater treatment plant and system operators
8630,51-8090,Miscellaneous plant and system operators
8640,51-9010,"Chemical processing machine setters, operators, and tenders"
8650,51-9020,"Crushing, grinding, polishing, mixing, and blending workers"
8710,51-9030,Cutting workers
8720,51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
8730,51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders"
8740,51-9061,"Inspectors, testers, sorters, samplers, and weighers"
8750,51-9071,Jewelers and precious stone and metal workers
8760,51-9080,"Medical, dental, and ophthalmic laboratory technicians"
8800,51-9111,Packaging and filling machine operators and tenders
8810,51-9120,Painting workers
8830,51-9151,Photographic process workers and processing machine operators
8840,51-9141,Semiconductor processors
8850,51-9191,Adhesive bonding machine operators and tenders
8860,51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders"
8900,51-9193,Cooling and freezing equipment operators and tenders
8910,51-9194,Etchers and engravers
8920,51-9195,"Molders, shapers, and casters, except metal and plastic"
8930,51-9196,"Paper goods machine setters, operators, and tenders"
8940,51-9197,Tire builders
8950,51-9198,Helpers--production workers
8965,51-9199,"Production workers, all other"
9000,53-1000 ,Supervisors of transportation and material moving workers
9030,53-2010,Aircraft pilots and flight engineers
9040,53-2020 ,Air traffic controllers and airfield operations specialists
9050,53-2031,Flight attendants
9110,53-3011,"Ambulance drivers and attendants, except emergency medical technicians"
9120,53-3020,Bus drivers
9130,53-3030,Driver/sales workers and truck drivers
9140,53-3041,Taxi drivers and chauffeurs
9150,53-3099 ,"Motor vehicle operators, all other"
9200,53-4010 ,Locomotive engineers and operators
9230,53-4021,"Railroad brake, signal, and switch operators"
9240,53-4031 ,Railroad conductors and yardmasters
9260,53-40XX,"Subway, streetcar, and other rail transportation workers"
9300,53-5011,Sailors and marine oilers
9310,53-5020 ,Ship and boat captains and operators
9330,53-5031,Ship engineers
9340,53-6011,Bridge and lock tenders
9350,53-6021,Parking lot attendants
9360,53-6031 ,Automotive and watercraft service attendants   
9410,53-6051,Transportation inspectors
9415,53-6061,"Transportation attendants, except flight attendants"
9420,53-60XX,Other transportation workers 
9500,53-7011,Conveyor operators and tenders
9510,53-7021,Crane and tower operators
9520,53-7030 ,"Dredge, excavating, and loading machine operators"
9560,53-7041 ,Hoist and winch operators
9600,53-7051,Industrial truck and tractor operators
9610,53-7061,Cleaners of vehicles and equipment
9620,53-7062,"Laborers and freight, stock, and material movers, hand"
9630,53-7063,Machine feeders and offbearers
9640,53-7064,"Packers and packagers, hand"
9650,53-7070 ,Pumping station operators
9720,53-7081,Refuse and recyclable material collectors
9730,53-7111,Mine shuttle car operators
9740,53-7121,"Tank car, truck, and ship loaders"
9750,53-7199 ,"Material moving workers, all other"
9800,55-1010,Military officer special and tactical operations leaders
9810,55-2010,First-line enlisted military supervisors
9820,55-3010,Military enlisted tactical operations and air/weapons specialists and crew members
9830,none,"Military, rank not specified"
9920,none,"Unemployed, with no work experience in the last 5 years or earlier or never worked"
